Date,North (mm), East (mm),Lat,Long
12-02-2018,117.69,86.64,,
13-02-2018,117.59,85.72,,
14-02-2018,120.5,79.98,,
15-02-2018,122.54,83.05,,
16-02-2018,121.22,82.53,,
17-02-2018,121.7,78.72,,
18-02-2018,121.75,84,,
19-02-2018,121.99,79.8,,
20-02-2018,119.98,83.2,,
21-02-2018,121.37,83.23,,
22-02-2018,119.97,84.99,,
23-02-2018,120.39,80.25,,
24-02-2018,120.27,82.3,,
25-02-2018,122.13,80.29,,
26-02-2018,123.16,82.07,,
27-02-2018,119.25,83.38,,
28-02-2018,120.3,82.87,,
01-03-2018,120.92,82.92,,
02-03-2018,119.91,82.33,,
03-03-2018,117.28,81.83,,
04-03-2018,120.28,80.03,,
05-03-2018,117.99,79.92,,
06-03-2018,121.74,79.46,,
07-03-2018,120.57,80.13,,
08-03-2018,122.41,80.17,,
09-03-2018,121.18,83.22,,
10-03-2018,120.05,82.52,,
11-03-2018,120.37,81.61,,
12-03-2018,119.72,81.89,,
13-03-2018,122.02,82.07,,
14-03-2018,121.2,81.97,,
15-03-2018,120.46,81.49,,
16-03-2018,120.91,82.43,,
17-03-2018,122.15,80.49,,
18-03-2018,122.54,81.6,,
19-03-2018,121.75,80.37,,
20-03-2018,121.65,80.43,,
21-03-2018,119.38,81.69,,
22-03-2018,120.98,81.06,,
23-03-2018,120.57,82.56,,
24-03-2018,121.69,84.27,,
25-03-2018,120.8,81.76,,
26-03-2018,123.13,81.96,,
27-03-2018,121.83,84.38,,
28-03-2018,124.06,83.34,,
29-03-2018,120.38,84.85,,
30-03-2018,122.65,83.66,,
31-03-2018,121.47,82.78,,
01-04-2018,123.43,81.22,,
02-04-2018,120.36,80.64,,
03-04-2018,120.76,82.85,,
04-04-2018,121.16,83.34,,
05-04-2018,123.34,84.96,,
06-04-2018,123.8,84.84,,
07-04-2018,122.33,82.2,,
08-04-2018,123.67,83.71,,
09-04-2018,121.56,80.8,,
10-04-2018,120.02,83.55,,
11-04-2018,123.77,84.13,,
12-04-2018,124.59,82.66,,
13-04-2018,121.72,81.61,,
14-04-2018,121.41,82.25,,
15-04-2018,118.7,82.52,,
16-04-2018,120.68,85.7,,
17-04-2018,121.07,84.65,,
18-04-2018,120.38,85.2,,
19-04-2018,124.71,84.44,,
20-04-2018,121,82.33,,
21-04-2018,123.88,83.7,,
22-04-2018,122.93,81.9,,
23-04-2018,123.53,82.76,,
24-04-2018,122.46,84.98,,
25-04-2018,124.22,82.25,,
26-04-2018,122.42,81.43,,
27-04-2018,121.31,84.14,,
28-04-2018,118.17,83.32,,
29-04-2018,123.05,83.9,,
30-04-2018,124.33,80.87,,
01-05-2018,124.48,84.15,,
02-05-2018,122.54,83.01,,
03-05-2018,125.93,80.75,,
04-05-2018,120.8,89.2,,
05-05-2018,127.03,84.37,,
06-05-2018,125.4,85.71,,
07-05-2018,124.13,75.46,,
08-05-2018,124.65,72.24,,
09-05-2018,123.4,87.08,,
10-05-2018,123.51,79.32,,
11-05-2018,128.15,82.77,,
12-05-2018,123.26,75.59,,
13-05-2018,128.32,83.51,,
14-05-2018,116.83,80.02,,
15-05-2018,121.74,82.47,,
16-05-2018,121.77,79.6,,
17-05-2018,124.54,81.65,,
18-05-2018,123.83,80.59,,
19-05-2018,115.74,78.04,,
20-05-2018,122.2,81.19,,
21-05-2018,114.73,68.92,,
22-05-2018,126.26,86.31,,
23-05-2018,123.91,83.51,,
24-05-2018,129.27,82.05,,
25-05-2018,120.67,82.22,,
26-05-2018,126.36,79.31,,
27-05-2018,120.81,83.17,,
28-05-2018,123.2,80.42,,
29-05-2018,124.2,79.59,,
30-05-2018,124.7,81.63,,
31-05-2018,123.08,83.15,,
01-06-2018,123.73,80.75,,
02-06-2018,124.39,81.13,,
03-06-2018,123.24,82.07,,
04-06-2018,124.52,81.06,,
05-06-2018,125.22,83.26,,
06-06-2018,124.85,81.77,,
07-06-2018,123.53,81.59,,
08-06-2018,123.49,81.59,,
09-06-2018,125.88,80.09,,
10-06-2018,124.58,83.45,,
11-06-2018,124.95,81.91,,
12-06-2018,123.58,83.64,,
13-06-2018,124.95,84.41,,
14-06-2018,125.27,82.3,,
15-06-2018,125.03,82.84,,
16-06-2018,124.26,82.21,,
17-06-2018,124.65,81.11,,
18-06-2018,127.74,80.43,,
