,0
1020,-367.55
1021,-367.82
1022,-365.84
1023,-360.71
1024,-362.11
1025,-360.36
1026,-360.44
1027,-362.72
1028,-366.88
1029,-368.35
1030,-369.34
1031,-369.39
1032,-366.39
1033,-369.24
1034,-368.32
1035,-371.54
1036,-368.78
1037,-368.41
1038,-369.31
1039,-368.2
1040,-368.22
1041,-368.08
1042,-368.21
1043,-366.86
1044,-366.79
1045,-365.62
1046,-367.66
1047,-367.37
1048,-367.28
1049,-367.9
1050,-367.66
1051,-367.74
1052,-367.11
1053,-366.89
1054,-365.79
1055,-367.75
1056,-367.75
1057,-369.62
1058,-369.6
1059,-374.03
1060,-369.37
1061,-369.24
1062,-369.13
1063,-371.45
1064,-369.61
1065,-370.15
1066,-369.77
1067,-370.12
1068,-369.72
1069,-368.84
1070,-369.53
1071,-366.33
1072,-368.41
1073,-368.96
1074,-369.67
1075,-368.79
1076,-368.23
1077,-369.13
1078,-368.95
1079,-366.13
1080,-367.67
1081,-368.28
1082,-365.88
1083,-368.48
1084,-368.1
1085,-366.21
1086,-365.36
1087,-368.64
1088,-366.48
1089,-367.07
1090,-367.31
1091,-368.42
1092,-368.32
1093,-368.53
1094,-366.89
1095,-368.14
1096,-369.79
1097,-370.48
1098,-369.69
1099,-368.11
1100,-369.41
1101,-369.03
1102,-370.1
1103,-368.83
1104,-368.91
1105,-371.09
1106,-370.89
1107,-369.63
1108,-370.66
1109,-371.36
1110,-370.59
1111,-368.95
1112,-368.99
1113,-369.31
1114,-368.06
1115,-369.45
1116,-370.09
1117,-369.14
1118,-370.58
1119,-370.96
1120,-371.1
1121,-370.98
1122,-368.66
1123,-367.75
1124,-367.66
1125,-366.63
1126,-366.29
1127,-367.56
1128,-367.82
1129,-368.38
1130,-369.42
1131,-369.48
1132,-367.8
1133,-372.1
1134,-371.19
1135,-371.31
1136,-372.05
1137,-373.23
1138,-370.85
1139,-370.57
1140,-372.61
1141,-369.83
1142,-372.15
1143,-371.78
1144,-371.52
1145,-372.73
1146,-372.48
1147,-371.85
1148,-372.36
1149,-373.79
1150,-374.04
1151,-372.6
1152,-371.02
1153,-369.92
1154,-368.94
1155,-369.84
1156,-369.85
1157,-370.39
1158,-371.19
1159,-369.75
1160,-371.4
1161,-373.02
1162,-371.74
1163,-371.15
1164,-370.95
1165,-372.02
1166,-372.37
1167,-370.19
1168,-368.79
1169,-369.24
1170,-369.53
1171,-368.36
1172,-371.42
1173,-373.41
1174,-373.84
1175,-373.96
1176,-373.43
1177,-373.99
1178,-374.72
1179,-373.57
1180,-373.0
1181,-374.95
1182,-372.97
1183,-372.74
1184,-372.67
1185,-373.37
1186,-374.15
1187,-374.6
1188,-374.45
1189,-375.65
1190,-374.22
1191,-375.01
1192,-375.86
1193,-376.25
1194,-375.54
1195,-376.03
1196,-375.52
1197,-375.4
1198,-375.44
1199,-373.88
1200,-377.04
1201,-373.97
1202,-373.73
1203,-375.06
1204,-375.48
1205,-375.7
1206,-376.06
1207,-376.69
1208,-376.17
1209,-376.67
1210,-375.99
1211,-375.73
1212,-375.23
1213,-373.76
1214,-374.01
1215,-376.95
1216,-375.52
1217,-377.32
1218,-376.75
1219,-376.6
1220,-376.68
1221,-376.41
1222,-375.81
1223,-375.79
1224,-376.01
1225,-375.13
1226,-374.43
1227,-374.69
1228,-375.53
1229,-376.82
1230,-376.77
1231,-374.81
1232,-376.8
1233,-374.92
1234,-374.78
1235,-375.91
1236,-375.33
1237,-375.95
1238,-376.33
1239,-375.42
1240,-375.67
1241,-377.82
1242,-376.39
1243,-375.94
1244,-375.99
1245,-376.09
